county,id,okrug,okrug_id,year,vote_milosevic,vote_opposition,vote_srs,turnout,bombed,year00,employed_per_1000inh,pop_per_doctor,refugees_perc_pop,minorpc91,femalepc91,pop_chng_98_02,irp,urbanpc91,age20_34pc,illiterate_pc,allen_vincent_2011
ADA,1,SEVERNOBANATSKI,3,1992,4.361623616,7.963099631,6.531365314,75.73,0,0,239,700,0.016228029,0.847856412,0.509403221,-0.073463415,0.001170732,0.91239177,0.187217016,0.011529957,0
ALEKSANDROVAC,2,RASINSKI,19,1992,42.33484863,11.39858787,21.27381758,79.65,0,0,175,770,0.024476893,0.016046967,0.494,-0.106717325,0.009148936,0.191541314,0.190309299,0.055837218,0
ALEKSINAC,3,NISAVSKI,20,1992,37.87412587,6.382708201,29.87666879,80.23,1,0,150,483,0.030558862,0.058846563,0.507522442,-0.051740558,0.017011494,0.292061556,0.182392769,0.055204419,0
ALIBUNAR,4,JUZNOBANATSKI,4,1992,23.14126974,19.2458955,18.240839,74.16,0,0,194,634,0.046881477,0.467081213,0.510094162,-0.099843137,0.004196078,0.377551789,0.176831925,0.037335541,0
APATIN,5,ZAPADNOBACKI,5,1992,30.09246155,5.269365034,25.5401453,82.81,0,0,261,825,0.257129004,0.495863511,0.519291626,0.012746914,0.00308642,0.559548442,0.195014171,0.025843416,0
ARANDJELOVAC,6,SUMADIJSKI,12,1992,27.43319441,17.58834448,23.35306273,77.01,1,0,281,492,0.082027805,0.052396153,0.510248225,0.015379747,0.047637131,0.498760973,0.201271583,0.020611274,1
ARILJE,7,ZLATIBORSKI,16,1992,27.53293218,8.472922426,15.21385591,79,0,0,306,597,0.024489796,0.019326285,0.504604324,-0.020594059,0.003118812,0.299108682,0.194348969,0.035432673,0
BABUSNICA,8,PIROTSKI,22,1992,48.82300358,6.875744934,20.21752086,83.41,0,0,162,569,0.010965706,0.099518957,0.496456835,-0.106022727,0.001931818,0.220865877,0.143701538,0.096351849,0
BAC,9,JUZNOBACKI,6,1992,17.08043694,11.99783335,20.45680238,83.38,0,0,211,1018,0.02979519,0.629369819,0.510261031,-0.048654971,0.000350877,0.351491192,0.187607573,0.036083108,0
BACKA PALANKA,10,JUZNOBACKI,6,1992,30.44330798,14.52078751,29.60862768,82.6,1,0,264,676,0.247943073,0.276842016,0.512321131,0.035076401,0.002427844,0.455117093,0.202571925,0.027326707,0
BACKA TOPOLA,11,SEVERNOBACKI,1,1992,6.6300692,4.77055708,6.784706383,78.17,0,0,277,605,0.15357412,0.779532034,0.512313811,-0.021867008,0.002787724,0.412617642,0.185069944,0.021414564,0
BACKI PETROVAC,12,JUZNOBACKI,6,1992,13.25163568,9.315609098,10.53068855,80.15,0,0,210,918,0.048397395,0.790512067,0.509070005,-0.040457516,0.000457516,0.462187021,0.189837205,0.017573735,0
BAJINA BASTA,13,ZLATIBORSKI,16,1992,28.07533137,9.90223715,26.15006298,73.54,1,0,223,792,0.064746025,0.01731267,0.500084042,0.001752577,0.002783505,0.287592026,0.193543961,0.059757813,0
BARAJEVO,14,BEOGRAD,0,1992,30.43861759,11.29019325,24.40862802,71.64,1,0,142,688,0.174851019,0.058576246,0.49956114,0.135529954,0.050829493,0,0.196095938,0.025688892,0
BATOCINA,15,SUMADIJSKI,12,1992,27.91775612,18.86142144,22.43879249,78.74,0,0,199,782,0.030388588,0.029496991,0.505994158,-0.067175573,0.052671756,0.377305026,0.193698854,0.035351882,0
BECEJ,16,JUZNOBACKI,6,1992,12.90568781,11.37197892,1.39923678,79,0,0,285,633,0.05978681,0.665104838,0.512103105,-0.002749392,0.004793187,0.624112478,0.195257033,0.018396077,0
BELA CRKVA,17,JUZNOBANATSKI,4,1992,3.38406975,22.02600857,19.35126348,78.85,1,0,203,560,0.041253638,0.262411946,0.515174733,-0.125879828,0.00167382,0.49521134,0.201404232,0.027642755,0
