loc,long,lat,region,date,type,descr,deaths,death_stat,source
"7. Juli, Paracin",21.4107,43.8585,Serbia,4/16/1999,military facility,barracks,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Ada Ciganlija,20.413,44.7862,Serbia,5/18/1999,industry,depot,0,,http://www.nin.co.rs/arhiva/2525/5.html
Ada Ciganlija,20.413,44.7862,Serbia,5/20/1999,industry,depot,0,,http://www.nin.co.rs/arhiva/2526/7.html
"Aleksandrovo, Merosina",21.7487,43.2951,Serbia,6/3/1999,military units,,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Aleksinac,21.70829056,43.53292467,Serbia,3/26/1999,military facility,barracks,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Aleksinac,21.70684378,43.54163696,Serbia,4/5/1999,civilian,,12,civilian,Bela Knjiga
Aleksinac,21.70684378,43.54163696,Serbia,5/28/1999,civilian,house,3,civilian,"Bela Knjiga, FHP"
Arandjelovac,20.52885668,44.29854684,Serbia,3/25/1999,communications,relay on Bukulja,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Ariljaca,21.0019,42.5842,Kosovo,5/1/1999,military units,,3,civilian,FHP
Avala,20.4864,44.7322,Serbia,3/24/1999,military units,,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Avala,20.4864,44.7322,Serbia,3/26/1999,military units,,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Avala,20.4864,44.7322,Serbia,3/30/1999,military units,,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Avala,20.4864,44.7322,Serbia,4/23/1999,military units,,0,,"http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html, FHP"
Avala,20.4864,44.7322,Serbia,4/25/1999,communications,,0,,"http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html, FHP"
Avala,20.4864,44.7322,Serbia,5/7/1999,military units,,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Avalski toranj,20.51446877,44.6961081,Serbia,4/29/1999,communications,,0,,"http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html, FHP"
"Backa Palanka, most 25. maj",19.40187173,45.23420318,Serbia,4/3/1999,infrastructure,bridge,0,,Bela Knjiga
"Backa Palanka, most 25. maj",19.40187173,45.23420318,Serbia,4/27/1999,infrastructure,bridge,0,,"http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html, FHP"
Bair,20.87156647,42.88036253,Kosovo,4/19/1999,military units,,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Bair,20.87156647,42.88036253,Kosovo,5/22/1999,military units,,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Bajina Basta,19.56509732,43.97104125,Serbia,5/21/1999,industry,plant,0,,http://nointervention.com/archive/Yugoslavia/www.serbia-info.com/news/1999-06/05/12335.html
Banatski Dvor,20.52192318,45.50953179,Serbia,5/20/1999,infrastructure,bridge,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Banatski Dvor,20.52192318,45.50953179,Serbia,5/22/1999,infrastructure,bridge,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Banjica,20.46367017,44.76852359,Serbia,4/3/1999,military facility,police,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
"Banjica, ul. Vasa Carapic",20.4659,44.7618,Serbia,4/13/1999,military facility,,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Banjica/Baice,20.9147,42.5206,Kosovo,3/28/1999,military units,,1,military,FHP
